PupsID,Region,Age,Metabolite,bvalue,Attenuation
8,Thalamus,5,Cr+PCr,10,0.358918918918919
8,Thalamus,5,Cr+PCr,20,0.290810810810811
8,Thalamus,5,Cr+PCr,30,0.178918918918919
17,Cerebellum,5,Cr+PCr,0.035,1
17,Cerebellum,5,Cr+PCr,3.035,0.676785714285714
17,Cerebellum,5,Cr+PCr,6,0.561607142857143
17,Cerebellum,5,Cr+PCr,10,0.366071428571429
17,Cerebellum,5,Cr+PCr,20,0.171428571428571
17,Cerebellum,5,Cr+PCr,30,0.0516964285714286
9,Thalamus,5,Cr+PCr,0.035,1
9,Thalamus,5,Cr+PCr,3.035,0.682291666666667
9,Thalamus,5,Cr+PCr,6,0.546875
9,Thalamus,5,Cr+PCr,10,0.369270833333333
9,Thalamus,5,Cr+PCr,20,0.310416666666667
9,Thalamus,5,Cr+PCr,30,0.166145833333333
18,Cerebellum,5,Cr+PCr,0.035,1
18,Cerebellum,5,Cr+PCr,3.035,0.624347826086956
18,Cerebellum,5,Cr+PCr,6,0.610434782608696
18,Cerebellum,5,Cr+PCr,10,0.413913043478261
18,Cerebellum,5,Cr+PCr,20,0.230434782608696
18,Cerebellum,5,Cr+PCr,30,0.0337391304347826
1,Thalamus,5,GPC+PCho+Cho,0.035,1
1,Thalamus,5,GPC+PCho+Cho,3.035,0.766433566433566
1,Thalamus,5,GPC+PCho+Cho,6,0.615384615384615
1,Thalamus,5,GPC+PCho+Cho,10,0.495104895104895
1,Thalamus,5,GPC+PCho+Cho,20,0.360839160839161
1,Thalamus,5,GPC+PCho+Cho,30,0.244755244755245
10,Cerebellum,5,GPC+PCho+Cho,0.035,1
10,Cerebellum,5,GPC+PCho+Cho,3.035,0.750972762645914
10,Cerebellum,5,GPC+PCho+Cho,6,0.630350194552529
10,Cerebellum,5,GPC+PCho+Cho,10,0.501945525291829
10,Cerebellum,5,GPC+PCho+Cho,20,0.27496757457847
10,Cerebellum,5,GPC+PCho+Cho,30,0.17769130998703
2,Thalamus,5,GPC+PCho+Cho,0.035,1
2,Thalamus,5,GPC+PCho+Cho,3.035,0.860215053763441
2,Thalamus,5,GPC+PCho+Cho,6,0.625192012288787
2,Thalamus,5,GPC+PCho+Cho,10,0.502304147465438
2,Thalamus,5,GPC+PCho+Cho,20,0.288786482334869
2,Thalamus,5,GPC+PCho+Cho,30,0.253456221198157
11,Cerebellum,5,GPC+PCho+Cho,0.035,1
11,Cerebellum,5,GPC+PCho+Cho,3.035,0.958181818181818
11,Cerebellum,5,GPC+PCho+Cho,6,0.58
11,Cerebellum,5,GPC+PCho+Cho,10,0.301818181818182
11,Cerebellum,5,GPC+PCho+Cho,20,0.207272727272727
11,Cerebellum,5,GPC+PCho+Cho,30,0.104545454545455
3,Thalamus,5,GPC+PCho+Cho,0.035,0
3,Thalamus,5,GPC+PCho+Cho,3.035,0
3,Thalamus,5,GPC+PCho+Cho,6,0
3,Thalamus,5,GPC+PCho+Cho,10,0
3,Thalamus,5,GPC+PCho+Cho,20,0
3,Thalamus,5,GPC+PCho+Cho,30,0
12,Cerebellum,5,GPC+PCho+Cho,0.035,1
12,Cerebellum,5,GPC+PCho+Cho,3.035,0.782696177062374
12,Cerebellum,5,GPC+PCho+Cho,6,0.63682092555332
12,Cerebellum,5,GPC+PCho+Cho,10,0.432595573440644
12,Cerebellum,5,GPC+PCho+Cho,20,0.326961770623742
12,Cerebellum,5,GPC+PCho+Cho,30,0.190140845070423
4,Thalamus,5,GPC+PCho+Cho,0.035,1
4,Thalamus,5,GPC+PCho+Cho,3.035,0.696707105719237
4,Thalamus,5,GPC+PCho+Cho,6,0.558058925476603
4,Thalamus,5,GPC+PCho+Cho,10,0.369150779896014
4,Thalamus,5,GPC+PCho+Cho,20,0.35528596187175
4,Thalamus,5,GPC+PCho+Cho,30,0.0975736568457539
13,Cerebellum,5,GPC+PCho+Cho,0.035,1
13,Cerebellum,5,GPC+PCho+Cho,3.035,0.419902912621359
13,Cerebellum,5,GPC+PCho+Cho,6,0.288834951456311
13,Cerebellum,5,GPC+PCho+Cho,10,0.298543689320388
13,Cerebellum,5,GPC+PCho+Cho,20,0.142233009708738
13,Cerebellum,5,GPC+PCho+Cho,30,0.0419902912621359
5,Thalamus,5,GPC+PCho+Cho,0.035,1
5,Thalamus,5,GPC+PCho+Cho,3.035,0.823529411764706
5,Thalamus,5,GPC+PCho+Cho,6,0.628151260504202
5,Thalamus,5,GPC+PCho+Cho,10,0.623949579831933
5,Thalamus,5,GPC+PCho+Cho,20,0.380252100840336
5,Thalamus,5,GPC+PCho+Cho,30,0.283613445378151
14,Cerebellum,5,GPC+PCho+Cho,0.035,1
14,Cerebellum,5,GPC+PCho+Cho,3.035,0.647727272727273
14,Cerebellum,5,GPC+PCho+Cho,6,0.603896103896104
14,Cerebellum,5,GPC+PCho+Cho,10,0.472402597402597
14,Cerebellum,5,GPC+PCho+Cho,20,0.310064935064935
14,Cerebellum,5,GPC+PCho+Cho,30,0.188311688311688
6,Thalamus,5,GPC+PCho+Cho,0.035,1
6,Thalamus,5,GPC+PCho+Cho,3.035,0.689655172413793
6,Thalamus,5,GPC+PCho+Cho,6,0.611111111111111
6,Thalamus,5,GPC+PCho+Cho,10,0.431034482758621
6,Thalamus,5,GPC+PCho+Cho,20,0.291187739463602
6,Thalamus,5,GPC+PCho+Cho,30,0.300766283524904
15,Cerebellum,5,GPC+PCho+Cho,0.035,1
15,Cerebellum,5,GPC+PCho+Cho,3.035,0.66256157635468
15,Cerebellum,5,GPC+PCho+Cho,6,0.697044334975369
15,Cerebellum,5,GPC+PCho+Cho,10,0.618226600985222
15,Cerebellum,5,GPC+PCho+Cho,20,0.295566502463054
15,Cerebellum,5,GPC+PCho+Cho,30,0.0958128078817734
