PupId,Region,Age,Metabolite,MixTime,ADC,ADCcorr
8,Thalamus,5,GPC+PCho+Cho,500,0.0596063087475842,0.0596063087475842
8,Thalamus,5,GPC+PCho+Cho,750,0.0457861386826081,0.0457861386826081
8,Thalamus,5,GPC+PCho+Cho,1000,0.191788048301187,0.191788048301187
17,Cerebellum,5,GPC+PCho+Cho,100,0.19431468014211,0
17,Cerebellum,5,GPC+PCho+Cho,500,0.16507046532148,0
17,Cerebellum,5,GPC+PCho+Cho,750,0.231049060186648,0
17,Cerebellum,5,GPC+PCho+Cho,1000,0.248214568775707,0
9,Thalamus,5,GPC+PCho+Cho,100,0.0917428704601648,0.0917428704601648
9,Thalamus,5,GPC+PCho+Cho,500,0.0103850559265985,0.0103850559265985
9,Thalamus,5,GPC+PCho+Cho,750,0.118891647979577,0.118891647979577
9,Thalamus,5,GPC+PCho+Cho,1000,0.153332662376138,0.153332662376138
18,Cerebellum,5,GPC+PCho+Cho,100,0.144344823701804,0.144344823701804
18,Cerebellum,5,GPC+PCho+Cho,500,0.105231702893152,0.105231702893152
18,Cerebellum,5,GPC+PCho+Cho,750,0.106617118461724,0
18,Cerebellum,5,GPC+PCho+Cho,1000,0.0279395572943572,0.0279395572943572
1,Thalamus,5,Glu,100,0.127122518843035,0.127122518843035
1,Thalamus,5,Glu,500,0.0634512428304063,0.0634512428304063
1,Thalamus,5,Glu,750,0.070865089159317,0.070865089159317
1,Thalamus,5,Glu,1000,0.119098302253607,0.119098302253607
10,Cerebellum,5,Glu,100,0.0971354905142545,0.0971354905142545
10,Cerebellum,5,Glu,500,0.1008366935738,0.1008366935738
10,Cerebellum,5,Glu,750,0.112504815399886,0
10,Cerebellum,5,Glu,1000,0.107523110484074,0.107523110484074
2,Thalamus,5,Glu,100,0.166676432525256,0.166676432525256
2,Thalamus,5,Glu,500,0.0871116820036025,0.0871116820036025
2,Thalamus,5,Glu,750,0.18588564115003,0.18588564115003
2,Thalamus,5,Glu,1000,0.0873839157332211,0.0873839157332211
11,Cerebellum,5,Glu,100,0.0500044378537656,0.0500044378537656
11,Cerebellum,5,Glu,500,0.0464408905192135,0.0464408905192135
11,Cerebellum,5,Glu,750,0.102990931753554,0.102990931753554
11,Cerebellum,5,Glu,1000,0.0711913667660197,0.0711913667660197
3,Thalamus,5,Glu,100,0,0
3,Thalamus,5,Glu,500,0,0
3,Thalamus,5,Glu,750,0,0
3,Thalamus,5,Glu,1000,0,0
12,Cerebellum,5,Glu,100,0.0967001511053542,0.0967001511053542
12,Cerebellum,5,Glu,500,0.0636850789209031,0.0636850789209031
12,Cerebellum,5,Glu,750,0.04274139153841,0.04274139153841
12,Cerebellum,5,Glu,1000,0.0914360043088414,0.0914360043088414
4,Thalamus,5,Glu,100,0.0996528201732385,0.0996528201732385
4,Thalamus,5,Glu,500,0.136380527612491,0.136380527612491
4,Thalamus,5,Glu,750,0.137868755230621,0.137868755230621
4,Thalamus,5,Glu,1000,0.0377914321271266,0.0377914321271266
13,Cerebellum,5,Glu,100,0.133904252829871,0
13,Cerebellum,5,Glu,500,-0.0342767471332862,0
13,Cerebellum,5,Glu,750,0.0506876654655914,0
13,Cerebellum,5,Glu,1000,-0.048228962265436,0
5,Thalamus,5,Glu,100,0.0686022105536442,0.0686022105536442
5,Thalamus,5,Glu,500,0.0919953442295299,0
5,Thalamus,5,Glu,750,0.135631566972586,0.135631566972586
5,Thalamus,5,Glu,1000,0.10338497610128,0.10338497610128
14,Cerebellum,5,Glu,100,0.0979537629392463,0.0979537629392463
14,Cerebellum,5,Glu,500,0.125285548678815,0.125285548678815
14,Cerebellum,5,Glu,750,0.0567312682226113,0.0567312682226113
14,Cerebellum,5,Glu,1000,0.0944079167700233,0.0944079167700233
6,Thalamus,5,Glu,100,0.133463598312232,0.133463598312232
6,Thalamus,5,Glu,500,0.0617328732500287,0.0617328732500287
6,Thalamus,5,Glu,750,0.131614040238959,0.131614040238959
6,Thalamus,5,Glu,1000,0.118100586597726,0.118100586597726
15,Cerebellum,5,Glu,100,0.0950425975488947,0.0950425975488947
15,Cerebellum,5,Glu,500,0.0733803966875135,0.0733803966875135
15,Cerebellum,5,Glu,750,0.153892750982906,0.153892750982906
15,Cerebellum,5,Glu,1000,0.0278385344371626,0.0278385344371626
7,Thalamus,5,Glu,100,0.117795319687758,0.117795319687758
7,Thalamus,5,Glu,500,0.101072121804655,0.101072121804655
7,Thalamus,5,Glu,750,0.174588268712396,0.174588268712396
7,Thalamus,5,Glu,1000,0.197314891683594,0.197314891683594
16,Cerebellum,5,Glu,100,0.17575016781113,0
16,Cerebellum,5,Glu,500,0.113604592483117,0
16,Cerebellum,5,Glu,750,0.119339777108242,0
16,Cerebellum,5,Glu,1000,0.107068254830141,0.107068254830141
8,Thalamus,5,Glu,100,0.136119822044843,0.136119822044843
8,Thalamus,5,Glu,500,0.143315378287302,0.143315378287302
8,Thalamus,5,Glu,750,0.0735362319036739,0.0735362319036739
8,Thalamus,5,Glu,1000,0.140087551806092,0.140087551806092
17,Cerebellum,5,Glu,100,0.171646951970366,0
17,Cerebellum,5,Glu,500,0.288598996593313,0
17,Cerebellum,5,Glu,750,0.18875639080872,0
17,Cerebellum,5,Glu,1000,0.198710795235842,0
9,Thalamus,5,Glu,100,0.112767354432763,0.112767354432763
